Company Name,Stand Info,Country,Description,Skills
AccelCity,"Stand No - 9D-24, Hall No - Hall 9",Morocco,"Accelcity is a Moroccan innovation company works towards enhancing #SmartCities exactly in parking systems groundbreaking solutions that leverage advanced technologies such as IoT, data analytics, and machine learning. We help you to find a parking spot with features such as realtime availability, reservations,directions to the parking spot,and sometimes even integration with AI methods for a seamless experience .","Future Mobility & Transportation, Connected Mobility Solutions, Mobility As A Service - Maas, Payments & Ticketing"
Accura Scan,"Stand No - 8M-06, Hall No - Hall 8",India,"Accura Scan’s ID Verification Suite is a cutting-edge solution that simplifies digital kyc and user onboarding using AI-based authentication. It offers a fast and secure method for enlisting clients while ensuring high accuracy and comprehensive protection against identity fraud. The suite includes a range of features such as OCR, Face Match and Liveness Detection. With Accura Scan’s identity verification methodology that leverages human and artificial intelligence, you can verify, validate, and onboard customers seamlessly within seconds without the risk of fraud. The solutions are GDPR & iBeta Level 2 compliant. Discover immense opportunities with Accura Scan’s ID Verification Suite.","Digital Finance, Cloud Services, Blockchain, Big Data & Analytics, Artificial Intelligence, Data Extraction, Facial / Iris Recognition, Machine Learning, Optical character recognition (OCR), Artificial Intelligence, Identity / Trust / Authentication, Cybersecurity, Artificial Intelligence, E-KYC"
ACE Marketing Inc (Shanghai),Stand No - ACE China,China,"ACE has always been providing professional services in exhibition marketing, playing the role of a make-up artist for clients' active international marketing stage, adhering to the mission of achieving the leading industrial trends and providing all-round marketing services, and becoming a faithful partner of clients in the process of business development.","Internet of Things (IOT), Cyber security, Cloud Services, Artificial Intelligence, 3D Printing & Printing Services, Design & Product Development - Engineering and part design, Robotic Process Automation, Cybersecurity, Business Continuity & Disaster Recovery Planning, Cryptography, Industrial IoT (IIoT) & Connectivity"
Acer,"Stand No - Sponsor, Hall No - Sponsor",United Arab Emirates,"Founded in 1976, Acer is one of the world's top ICT companies with a presence in more than 160 countries. As Acer evolves with the industry and changing lifestyles, it is focused on enabling a world where hardware, software and services will fuse with one another, creating ecosystems and opening up new possibilities for consumers and businesses alike. Acer's 7,700 employees are dedicated to the research, design, marketing, sale, and support of products and solutions that break barriers between people and technology. Our HQ in Middle East is based in UAE since 1992. Our products spread across many portfolios covering Desktops, AIOs, Laptops, Monitors, Projectors, accessories for consumers, gamers and businesses. We offer products as well in eMobility (eScooters, eBikes, Bike desks), connectivity (routers & 5G models), power solutions, air & water purifiers. Among our offers, the latest cutting-edge AI PCs and a huge portfolio of green eco-friendly products.","Gaming, Future Mobility & Transportation, Energy Tech, Education Tech, Consumer Tech, Smart Home & Smart Workplace, Tablets / Laptops, 5G & Connectivity, Gaming Equipment, Headphones, Communication Equipment, Power Banks, Smart Appliances / Gadgets, Telecommunication, EdTech & Smart Classroom Solution, Hardware Resources, ICT / Digital Language Lab, Immersive technologies - Virtual, Augmented, Mixed Realities - VR, AR, MR, Smart Class Room Solution, Energy Storage Systems, Micromobility & E-Mobility, PC Gaming"
ACLS,"Stand No - 3E-14, Hall No - Hall 3",Morocco,"ACLS, is an IT company specialized in professional Learning and Consulting. We are accredited to deliver official training of the biggest vendors in the market such as Cisco, Fortinet, VMware, Huawei, Kaspersky, CompTIA, CertNexus... OUR SERVICES - TRAINING: ACLS offers different training programs from different vendors. - CERTIFICATIONS: ACLS is a Person Vue test center. - Advisory: ACLS provides several kinds of advisory including Architecture, Security, Penetration testing... - OUTSOURCING: ACLS provides the best experts and specialists on the market to its partners. PROFESSIONAL SERVICES: ACLS also offers integration assistance service, by providing you with the best experts and specialists according to the mission and the technology.","Networking & Infrastructure, Data Centres, Cyber security, Cloud Services, Artificial Intelligence, Data Extraction, Machine Learning, Neural Networks, Consultancy, Cybersecurity, Networks, Private Cloud, Public Cloud, Storage, Training or Recruitement, Virtualization, Anti-spam, Anti-Malware & Anti-Virus & Email Security, Application Control, Application integration and infrastructure, Application Security, Testing & Control, Cloud Security, Digital Forensics & Incident Response, Endpoint Protection & Mobile Security, Intrusion Detection & Penetration Testing, Network & Infrastructure Security, Operations Security, Security Architecture & Design, Telecommunication & Network Security, Consultancy, Training, Bridges, Consulting System & Integration Services, Data Management Technology, Enterprise Software Application, Firewalls, Gateways, Intrusion Detection Systems, Monitoring & Management Tools, Operating Systems, Physical Servers, Routers, Storage Area Networks, Storage Facilities, Switches, Telecommunication Platforms"
ADAFRI,"Stand No - 8B-14, Hall No - Hall 8",Senegal,We allow any advertiser to easily launch and monitor their digital ads and replicate them in DOOH from a single platform,No categories available
ADD,"Stand No - 15B-60, Hall No - Hall 15",Morocco,Digital Development Agency - Morocco,"HealthTech, Government"
AdNotes,"Stand No - 10D-10, Hall No - Hall 10",South Africa,"AdNotes is fully licensed by the Independent Communications Authority of South Africa (ICASA) and certified by the Film and Publication Board (FPB) to operate and provide Internet services in South Africa. We are members of the Internet Service Provider Association (ISPA) and the Wireless Access Providers Association (WAPA) and uphold the ISPA Code of Conduct. As AdNotes, a pioneering broadband technology solutions provider based in South Africa. We've spearheaded a revolution in connectivity solutions through our innovative use of TV White Spaces (TVWS) technology in the hard-to-reach areas. Our award-winning Internet Service Provider (ISP) offers affordable and reliable broadband internet services, delivering lightning-fast fibre internet speeds of up to 1 Gbps and wireless internet speeds of up to 500 Mbps. AdNotes is led by our incredible CEO Nathi Mbele, a seasoned professional with expertise in large network deployment and telecommunications infrastructure management.","5G & Telecommunications, Billing / OSS / BSS, Broadband Services, Cabling, Communication Equipment, Converged / Unified Communications, Fixed Line Telecommunications, Geospatial Solutions & Services, Service Providers, Telecommunication Integration & Equipment Services, Wireless"
Adot,"Stand No - 17B-83, Hall No - Hall 17",Ethiopia,"Adot serves as a digital companion, providing pregnant women with access to healthcare information, tips, and tools to monitor their health and the health of their unborn child. Our platform connects mothers with health professionals for advice, offers informative content tailored to each stage of pregnancy, and fosters a supportive community where experiences and knowledge can be shared. Adot thrives on a robust support network. Guided by senior advisors, we collaborate with leading healthcare organizations to enhance the quality of our services. This includes partnerships with Blue Health Ethiopia, a medical consultancy, and Manaaki Healthcare, a renowned healthcare and medical travel consultancy. By leveraging their combined medical and technical expertise, we guarantee the highest level of care for mothers.","HealthTech, Artificial Intelligence, Chatbots / Virtual Assistant, Community Health Services, Healthcare IT"
Adria Business & Technology,"Stand No - 19C-60, Hall No - Hall 19",Morocco,"In more than 22 countries across the globe, Adria Business & Technology stands out as a leading partner in your digital transformation journey. With deep-rooted expertise in the banking sector, including software publishing and integration, we offer far more than conventional service providers. We provide tailored solutions at the forefront of technological innovation, supporting you from the inception of your digital transformation project to the seamless implementation of cutting-edge solutions including digital onboarding, Open Banking, Corporate Banking, Digital Lending, Agency Banking, Mobile & Internet Banking, Wallet, Digital Signing & Sealing, and other transformative offerings. Elevate your organization to new heights of digital excellence with Adria Business & Technology by your side.",No categories available
ADVALIO,"Stand No - 5D-50, Hall No - Hall 5",Morocco,"# Telecom/IT company that provides engineering services & tools since 2015. Several local & abroad customers with ~50% of abroad turnover. # We act in 3 sectors: Telecom [operators, regulators, equipment suppliers], Vertical [industry & private networks] & Public Sectors. # These are our 4 core activities: Network Engineering Services / Professional Engineering Consulting / QoS-QoE/AI/ML Tools & Products / Training. # we have our own open source 5G SA Network for basic use cases testing, practical 5G SA training, research & development. # Advalio built a LaaS [Lab As a service] concept to provide customers with remote DT post-processing tools and large experience in RAN. # AI/ML Development? , Data Analytics & Input Data Management?, Design/Development of LLM Agents & Digital Twin",No categories available
Advanced Communications and Electronics Systems Co,"Stand No - 4C-35, Hall No - Hall 4",Saudi Arabia,"Established in 1994 and based in Riyadh, ACES is a top International Neutral Wholesale Telecommunications Operator. Licensed by the CST in Saudi Arabia and India's Ministry of Communications, it offers telecom infrastructure to licensed operators as a Neutral Wholesaler. ACES specializes in turnkey ICT projects like Wi-Fi, Smart City Solutions, Cloud, AI, Big Data, IoT, and Drones. It also provides O&M services via its Managed Services division, covering Facility Management, IBS, Wi-Fi Field Operations, COW Management, etc. Recognized with prestigious awards and ranked by SAGIA among Saudi Arabia's fastest-growing companies, ACES credits its success to its skilled team and strong partnerships.","5G & Telecommunications, Cabling, Communication Equipment, Data Centres, Fixed Line Telecommunications, Mobile Telecommunications & 5G, Service Providers, Telecommunication Integration & Equipment Services, Wireless"
Advnv,"Stand No - 9B-25, Hall No - Hall 9",France,"Economic woes hit everyone. Commuters battle rising costs of daily travels, while companies grapple with the high cost of traditional ad channels and digital channels saturation This creates a double side effect vicious cycle: expensive ads -> expensive products and services -> lower consumer purchasing power -> weak ad impact. Advnv is a groundbreaking shift in mobile out of home advertising! Seamlessly Connecting Drivers with Advertisers (companies). Our Revolutionary App addresses Drivers and companies challenges in one stroke. With Advnv,The drivers' routine commute becomes a lucrative venture as they deck-out their cars with advertisements transforming their vehicles into moving billboards. Simultaneously, Advertisers unlock access to a new engaged audience paying only for the distance covered as tracked by the Advnv app. Advnv creates the opposing virtuous cycle: More income -> better purchasing power -> stronger engagement with ads -> more efficient ad campaigns for companies.","Creative Economy, Software Services, Media, Marketing & Advertising Tech, Gaming, Artificial Intelligence, Chatbots / Virtual Assistant, Advertising, Marketing / Advertising, Ad Trading, AdTech, Out of Home - OOH, Mobile Applications"
AFRIC'TRUST,"Stand No - 19C-55, Hall No - Hall 19",Morocco,"Launched in 2022, AfricTrust is the only national accredited private operator offering the most comprehensive range of digital trust services. Your productivity and profitability are ensured with our products and services, which offer enhanced security, ease of use, and legal reliability, allowing you to remain competitive in an ever-changing world. With its unprecedented and innovative offering, AfricTRUST aspires to play an active role in the digitalization of public and private enterprises by providing trust services compliant with current regulatory standards.","Cyber security, Authentication User, Biometric Authentication and PKI, Cryptography, Legal, Regulations, Investigations & Compliance"
AFRICA SMART HEALTH,"Stand No - 17B-76, Hall No - Hall 17",Morocco,"ASH: Patients store their medical files, seamlessly shared with doctors pre-appointment, while practitioners manage consultations efficiently in ASH.","Media, Marketing & Advertising Tech, Internet of Things (IOT), HealthTech, Retail Tech, Incubator/Accelerator/Investment, Dealers and Distributors Healthcare, Government, Healthcare Consultancy Service, Healthcare Investor, Healthcare IT, IoT Solutions, RFID, Security, Digital Marketing, Payments - POS Payments"
Africa to Silicon Valley (A2SV),"Stand No - 21A-9, Hall No - Hall 21",United States of America,"A2SV (Africa to Silicon Valley) is a non-profit tech academy and incubator that provides exceptional tech education and support to top university students across Africa. Founded with the vision of transforming Africa into a global tech hub, A2SV collaborates with leading tech companies like Google, Meta, and Bloomberg to connect African talent with world-class opportunities. Our curriculum focuses on coding, real-world problem-solving skills and essential soft skills, preparing students not just for jobs, but to become leaders in technology. Students learn through creating digital solutions that address some of Africa’s most pressing challenges. To date, A2SV has trained over 800 students from 20 African countries and developed 7 digital products. Our impact extends beyond individual success stories, as we support sustainable tech ecosystems throughout the continent. Join us at GITEX Africa to explore how we’re making a difference and how you can be part of this transformative journey.","Incubator/Accelerator/Investment, HealthTech, Education Tech, Coding and Development, Artificial Intelligence, Chatbots / Virtual Assistant, Content Creation, Machine Learning, Neural Networks, Artificial Intelligence, Backend Development, Cloud Computing, Devops, Frontend Development, Java, Machine Learning, Python, Web Development, Artificial Intelligence & IOT, Assessment and testing, Collaborative learning and technology, Educational Support & Other Service, Learning strategy, Mobile learning solutions, Performance management, Training materials, Video for learning, Healthcare IT"
Africa Vision,"Stand No - 8C-01, Hall No - Hall 8",Egypt,"Africa vision primary focus is to increase the volume of the trade within the African content capitalizing on the potential of (AFCFTA) agreement. our vision can make the difference between generating A few international sales and achieving real and sustainable business growth in different sectors.as pharmaceutical, medical consumables, construction materials fashion designing home appliances. and others so Africa vision can achieve its goal to drive the transformation of trade land scape.",No categories available
Africalink,"Stand No - 21B-17, 21B-18, Hall No - Hall 21",France,"Africalink is a community of entrepreneurs, businesses and economic players acting together for their businesses expansion and towards supporting an « Africa-Europe » economic co-development strategy. Over 220 members, ambassadors, partners and sponsors from Europe and Africa: • Share high added-value network and qualified contacts • Foster industrial and commercial partnerships • Contribute to the implementation of cultural and business practices that stand lawfully, environment friendly and safe for our companies and all for their stakeholders Beside being a collaborative business network with meetings and experience-sharing of its members, Africalink is also a space for common reflection upon links between Africa and Europe, collaborative projects, the role of Aix-Marseille-Provence as a platform for hosting international exchanges and facilitator of the relationship toward and with Africa, African SME funding.",No categories available
AFRICAN MARKET ENTRY CONSULTING LIMITED,"Stand No - 8D-02, Hall No - Hall 8",Nigeria,"African Market Entry Consulting Ltd (Company Formation NG) is one of the most trusted comprehensive company formation agencies out of Nigeria. With more than 10,000 clients engagements from local and foreign clients, the firm won the Company Formation Experts of the Year 2023 in the 6th annual African Excellence Awards hosted by MEA Markets, UK; and The Most Innovative Company Formation Brand of the Year 2023 hosted by African Brands on STv. With 15 years of providing corporate and compliance services to our clients; and a combined wealth of team experience from different disciplines – entrepreneurship, commercial law, accounting and tax, immigration, and real estate– Company Formation NG is your one-stop agency for pre-incorporation, and post-incorporation matters. The agency has positioned itself to be the company formation and expatriate management agency of choice for world investors looking at incorporating a company in, and relocating expats to Nigeria, and the rest of Africa.","Incubator/Accelerator/Investment, HealthTech, Gaming, Ecommerce, 5G & Telecommunications, Broadband Services, Service Providers, Telecoms & Mobility, Mobile Gaming, Healthcare IT"
African Population and Health Research Center,"Stand No - 17A-12, Hall No - Hall 17",Kenya,"APHRC: Africa-based, research-to-policy organization in Nairobi & Dakar, driving change through evidence-informed decisions.","Big Data & Analytics, Artificial Intelligence, Data Extraction, Data Analytics, Data Science"
Afrikan Coders,"Stand No - 9K-14, Hall No - Hall 9",Cape Verde,"Afrikan Coders is a Cape Verdean company that training, recruits and provides qualified African human capital in the areas of Information and Communication Technologies (ICT) for remote work in global marketing. #AI #Inovation #Development #Softwaredevelopment #Digital #Design #DataScience #BI","Software Services, Cyber security, Blockchain, Big Data & Analytics, Artificial Intelligence, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Predictive APIs, Artificial Intelligence, Data Analytics, Smart Contracts, Web3 Applications, Applied Security, Operations Security, Ransomware, Security Credentials, Business Intelligence Solutions, Data Analytics & Automation"
AFRIMOBILITY,"Stand No - 8P-20 to 8P-33, Hall No - Hall 8",Morocco,"Afrimobility is Akwa Group's Venture Capital fund and is specialized in financing and scaling-up innovative startups, operating in the following verticals: • Mobility and Smart Cities • HealthTech • FinTech • GreenTech • AI/DeepTech • Agri-Food Tech Afrimobility's core principle is to invest in disruptive solutions by supporting several high-potential international startups. The fund has a portfolio of 22 startups located in Africa, Europe and North America. More than just an investment fund, Afrimobility is a value-creating company and a driver for innovative and structuring projects.","Digital Finance, HealthTech, Future Mobility & Transportation, Artificial Intelligence, AgriTech & FoodTech, Biotechnology, Predictive APIs, Artificial Intelligence, Chargers - EV Quick Chargers, Healthcare IT"
AfroChat,"Stand No - 21B-23, Hall No - Hall 21",Ethiopia,"AfroChat is a platform designed to address individual and organizational challenges in AI adoption. AfroChat improves AI knowledge and accessibility across Africa by using state-of-the-art Generative AI models in a simple user-friendly interface. Furthermore, we strive to understand organizational needs and develop tailored solutions that power their infrastructure. Our main features and services include * Recommendation of AI models for different use-cases and activities. * A locally integrated payment that is not restricted to your geographical status. * Search Engine Integration for real-time data access. * Business-tailored Generative AI services. * Customizable Chatbots and Productivity Tools. * Group Chat integration on your social media. * Android, IOS, WebApp, and Telegram integrated bots. Our mission is to provide Generative AI solutions for Africans and bridge the Knowledge gap in AI usage.","Coding and Development, Big Data & Analytics, Artificial Intelligence, Artificial Intelligence, Speech Recognition, Real time translation, Optical character recognition (OCR), Natural Language Processing (NLP), Natural Language Generation (NLG), Machine Learning, Data Extraction, Content Creation, Computer Vision, Chatbots / Virtual Assistant, Business Intelligence, Dashboard, Data Science, Data Visualisation, Mobile Technology, Natural Language Processing - NLP, Real-Time Analytics, Structured Data, Structured Query Language - SQL, Text Analytics, Unstructured Data, Visual Analytics, Artificial Intelligence, Data Sciences, Devops, Enterprise Applications, Frontend Development, Machine Learning, Python, Web Development, Data Analytics"
Aftermarket,"Stand No - 8D-13, Hall No - Hall 8",Cote d'Ivoire (Ivory Coast),"Aftermarket aims to transform the agricultural landscape of Côte d'Ivoire. By bridging the gap between producers and buyers, Aftermarket addresses the inefficiencies and challenges prevalent in the traditional supply chain, streamlining the process of sourcing and purchasing food produce. Through its online platform Aftermarket empowers producers by providing them with access to a broader market while buyers benefit from a diverse selection of products, enhanced transparency, and efficient transaction processes facilitated by the platform. Aftermarket's innovative use of technology ensures traceability, reliability, and convenience throughout the entire value chain. With a mission to promote sustainability, empower local producers, and meet the evolving needs of consumers. Our cutting-edge technology optimizes inventory management, logistics and communication between all players in the food supply chain, ensuring a smooth and efficient user experience.","AgriTech & FoodTech, Agricultural Marketplaces, Agriculture 4.0 (Crop Production and Livestock), Climate-Smart Agriculture, Controlled environment systems, New Food Systems"
Agence Maghreb Arabe Presse,"Stand No - 17D-20, Hall No - Hall 17",Morocco,"Established in 1959, Maghreb Arabe Presse (MAP) is the official news agency of the Kingdom of Morocco. As a governmental institution, MAP's primary objective is to disseminate news domestically and internationally, covering a diverse range of topics including politics, economy, culture, and society. With a mission to provide accurate and reliable information to the public, MAP reflects the perspectives and policies of the Moroccan government. Operating in multiple languages such as Arabic, French, English, and Spanish, MAP ensures broad accessibility to its news coverage, thereby serving as a key source of information for both local and global audiences.","Digital Finance, Media, Marketing & Advertising Tech, Internet of Things (IOT), Cyber security, Cloud Services, Cloud Management Platform, Cybersecurity, Desktop as a Service - DaaS, Migration, Networks, Private Cloud, Public Cloud, Storage, Web Hosting, Anti-spam, Anti-Malware & Anti-Virus & Email Security, Cloud Security, Auditing Solutions, Big Data / Digitisation / Analytics, Digital Lending, Digital Payment, E-Commerce Solutions, Education & Training, Research & Development, Video Analytics, Broadcasting, Chatbots & RPA, Content Creation, Content Marketing, Digital Marketing, Email Marketing, Event Management, Media Publishing, Performance Marketing, Post Production, Production, Public Relations & Communications, Radio Marketing, Social Media Management & Monitoring, Studio, UX & UI"
Agence Nationale des Ports,"Stand No - 15B-85, Hall No - Hall 15",Morocco,"Dans un contexte de globalisation croissante, marqué par l’intensification des échanges dans un environnement de plus en plus concurrentiel, le secteur des ports, au Maroc et dans le monde, est devenu un levier important du développement et de la compétitivité d’un pays. Il doit répondre dans le même temps à de nouveaux enjeux, sociaux, sociétaux et environnementaux. Acteur fort du paysage portuaire marocain, l’Agence fédère l’ensemble de la communauté portuaire autour d’objectifs communs ; elle œuvre à la création d’un environnement portuaire compétitif, favorisant un développement équitable et durable, caractérisé par une concurrence saine, par l’efficacité, la transparence et la bonne gouvernance, et assurant des services sûrs et de qualité.",No categories available
Agenz,"Stand No - 21G-21, Hall No - Hall 21",Morocco,"Real estate in Morocco is inefficient, at Agenz (a prop-tech scaleup) we’ve built an integrated real estate service stack, to bring transparency and performance all along the value chain and help real estate stakeholders save time and make more informed decisions. Agenz in a nutshell, we operate 3 up and running verticals. Agenz Transaction: We streamline the over complicated transaction process in Morocco. Agenz Valuation: Real estate appraising and portfolio management activity, we work with banks and institutions, we have been recently certified as an OPCI valuator by the Minister of Finance. Agenz Crédit: we simplify access to real estate mortgages for credit seekers. We count over $135M worth of properties in our inventory, we generated 5 000 appraisal reports last year and $30M worth of mortgage requests in the last 12 months.","PropTech, CRM, Data & Analytics, Listings & Brokerage Tech, Marketplaces"
