Company,Stand Info,Country,Description,Keywords,combined_text,competitor
ACCELCITY,"Stand No- 9D-24, Hall 9",Morocco,"Accelcity is a Moroccan innovation company works towards enhancing #SmartCities exactly in parking systems groundbreaking solutions that leverage advanced technologies such as IoT, data analytics, and machine learning. We help you ...","Future Mobility & Transportation, Connected Mobility Solutions, Mobility As A Service - Maas, Payments & Ticketing","ACCELCITY Future Mobility & Transportation, Connected Mobility Solutions, Mobility As A Service - Maas, Payments & Ticketing Accelcity is a   innovation company works towards enhancing #SmartCities exactly in parking systems groundbreaking solutions that leverage advanced technologies such as IoT  data analytics  and machine learning. We help you ...",4
ACCURA SCAN,"Stand No- 8M-06, Hall 8",India,Accura Scan’s ID Verification Suite is a cutting-edge solution that simplifies digital kyc and user onboarding using AI-based authentication. It offers a fast and secure method for enlisting clients while ensuring high accuracy ...,"Digital Finance, Cloud Services, Blockchain, Big Data & Analytics, Artificial Intelligence, Data Extraction, Facial / Iris Recognition, Machine Learning, Optical character recognition (OCR), Artificial Intelligence","ACCURA SCAN Digital Finance, Cloud Services, Blockchain, Big Data & Analytics, Artificial Intelligence, Data Extraction, Facial / Iris Recognition, Machine Learning, Optical character recognition (OCR), Artificial Intelligence Accura Scan’s ID Verification Suite is a cutting-edge solution that simplifies digital kyc and user onboarding using AI-based authentication. It offers a fast and secure method for enlisting clients while ensuring high accuracy ...",9
ACE MARKETING INC (SHANGHAI),"Stand No- 4E-4, Hall 4",Taiwan Province of China,"With more than 30 years of experience in international fairs, ACE not only provides creative and engaging custom-designed exhibition stands, we also offer customers dependable and outstanding service and total solutions to promote ...","5G & Telecommunications, Communication Equipment","ACE MARKETING INC (SHANGHAI) 5G & Telecommunications, Communication Equipment With more than 30 years of experience in international fairs  ACE not only provides creative and engaging custom-designed exhibition stands  we also offer customers dependable and outstanding service and total solutions to promote ...",2
ACER,"Stand No- Sponsor, Sponsor",United Arab Emirates,"Founded in 1976, Acer is one of the world's top ICT companies with a presence in more than 160 countries. As Acer evolves with the industry and changing lifestyles, it is focused on enabling a world where hardware, software and se ...","Gaming, Future Mobility & Transportation, Energy Tech, Education Tech, Consumer Tech, Smart Home & Smart Workplace, Tablets / Laptops, 5G & Connectivity, Gaming Equipment, Headphones, Communication Equipment","ACER Gaming, Future Mobility & Transportation, Energy Tech, Education Tech, Consumer Tech, Smart Home & Smart Workplace, Tablets / Laptops, 5G & Connectivity, Gaming Equipment, Headphones, Communication Equipment Founded in 1976  Acer is one of the world's top ICT companies with a presence in more than 160 countries. As Acer evolves with the industry and changing lifestyles  it is focused on enabling a world where hardware  software and se ...",6
ACLS,"Stand No- 3E-14, Hall 3",Morocco,"ACLS, is an IT company specialized in professional Learning and Consulting. We are accredited to deliver official training of the biggest vendors in the market such as Cisco, Fortinet, VMware, Huawei, Kaspersky, CompTIA, CertNexus ...","Networking & Infrastructure, Data Centres, Cyber security, Cloud Services, Artificial Intelligence, Data Extraction, Machine Learning, Neural Networks, Consultancy, Cybersecurity","ACLS Networking & Infrastructure, Data Centres, Cyber security, Cloud Services, Artificial Intelligence, Data Extraction, Machine Learning, Neural Networks, Consultancy, Cybersecurity ACLS  is an IT company specialized in professional Learning and Consulting. We are accredited to deliver official training of the biggest vendors in the market such as Cisco  Fortinet  VMware  Huawei  Kaspersky  CompTIA  CertNexus ...",8
ADAFRI,"Stand No- 8B-14, Hall 8",Senegal,Adafri is automated to various advertising inventories in Africa. Advertising becomes less technical and more accessible on this platform,,ADAFRI  Adafri is automated to various advertising inventories in Africa. Advertising becomes less technical and more accessible on this platform,2
ADD,"Stand No- 15B-60, Hall 15",Morocco,Digital Development Agency - Morocco,"HealthTech, Government","ADD HealthTech, Government Digital Development Agency -  ",8
ADOT,"Stand No- 17B-83, Hall 17",Ethiopia,"Adot serves as a digital companion, providing pregnant women with access to healthcare information, tips, and tools to monitor their health and the health of their unborn child. Our platform connects mothers with health profession ...","Artificial Intelligence, HealthTech, Chatbots / Virtual Assistant, Community Health Services, Healthcare IT","ADOT Artificial Intelligence, HealthTech, Chatbots / Virtual Assistant, Community Health Services, Healthcare IT Adot serves as a digital companion  providing pregnant women with access to healthcare information  tips  and tools to monitor their health and the health of their unborn child. Our platform connects mothers with health profession ...",2
ADRIA BUSINESS & TECHNOLOGY,"Stand No- 19C-60, Hall 19",Morocco,"In more than 22 countries across the globe, Adria Business & Technology stands out as a leading partner in your digital transformation journey. With deep-rooted expertise in the banking sector, including software publishing and in ...",,ADRIA BUSINESS & TECHNOLOGY  In more than 22 countries across the globe  Adria Business & Technology stands out as a leading partner in your digital transformation journey. With deep-rooted expertise in the banking sector  including software publishing and in ...,8
ADVALIO,"Stand No- 5D-50, Hall 5",Morocco,"# Telecom/IT company that provides engineering services & tools since 2015. Several local & abroad customers with ~50% of abroad turnover. # We act in 3 sectors: Telecom [operators, regulators, equipment suppliers], Vertical [indu ...",,ADVALIO  # Telecom/IT company that provides engineering services & tools since 2015. Several local & abroad customers with ~50% of abroad turnover. # We act in 3 sectors: Telecom [operators  regulators  equipment suppliers]  Vertical [indu ...,6
ADVANCED COMMUNICATIONS AND ELECTRONICS SYSTEMS CO,"Stand No- 4C-35, Hall 4",Saudi Arabia,"Established in 1994 and based in Riyadh, ACES is a top International Neutral Wholesale Telecommunications Operator. Licensed by the CST in Saudi Arabia and India's Ministry of Communications, it offers telecom infrastructure to li ...","5G & Telecommunications, Cabling, Communication Equipment, Data Centres, Fixed Line Telecommunications, Mobile Telecommunications & 5G, Service Providers, Telecommunication Integration & Equipment Services, Wireless","ADVANCED COMMUNICATIONS AND ELECTRONICS SYSTEMS CO 5G & Telecommunications, Cabling, Communication Equipment, Data Centres, Fixed Line Telecommunications, Mobile Telecommunications & 5G, Service Providers, Telecommunication Integration & Equipment Services, Wireless Established in 1994 and based in Riyadh  ACES is a top International Neutral Wholesale Telecommunications Operator. Licensed by the CST in Saudi Arabia and India's Ministry of Communications  it offers telecom infrastructure to li ...",3
ADVNV,"Stand No- 9B-25, Hall 9",France,"Economic woes hit everyone. Commuters battle rising costs of daily travels, while companies grapple with the high cost of traditional ad channels and digital channels saturation This creates a double side effect vicious cycle: exp ...","Creative Economy, Software Services, Media, Marketing & Advertising Tech, Gaming, Artificial Intelligence, Chatbots / Virtual Assistant, Advertising, Marketing / Advertising, Ad Trading, AdTech","ADVNV Creative Economy, Software Services, Media, Marketing & Advertising Tech, Gaming, Artificial Intelligence, Chatbots / Virtual Assistant, Advertising, Marketing / Advertising, Ad Trading, AdTech Economic woes hit everyone. Commuters battle rising costs of daily travels  while companies grapple with the high cost of traditional ad channels and digital channels saturation This creates a double side effect vicious cycle: exp ...",8
AFRIC'TRUST,"Stand No- 19C-55, Hall 19",Morocco,"Launched in 2022, AfricTrust is the only national accredited private operator offering the most comprehensive range of digital trust services. Your productivity and profitability are ensured with our products and services, which ...","Cyber security, Authentication User, Biometric Authentication and PKI, Cryptography, Legal, Regulations, Investigations & Compliance","AFRIC'TRUST Cyber security, Authentication User, Biometric Authentication and PKI, Cryptography, Legal, Regulations, Investigations & Compliance Launched in 2022  AfricTrust is the only national accredited private operator offering the most comprehensive range of digital trust services. Your productivity and profitability are ensured with our products and services  which ...",2
AFRICA SMART HEALTH,"Stand No- 17B-76, Hall 17",Morocco,"ASH: Patients store their medical files, seamlessly shared with doctors pre-appointment, while practitioners manage consultations efficiently in ASH.","Media, Marketing & Advertising Tech, Internet of Things (IOT), HealthTech, Retail Tech, Incubator/Accelerator/Investment, Dealers and Distributors Healthcare, Government, Healthcare Consultancy Service, Healthcare Investor, Healthcare IT","AFRICA SMART HEALTH Media, Marketing & Advertising Tech, Internet of Things (IOT), HealthTech, Retail Tech, Incubator/Accelerator/Investment, Dealers and Distributors Healthcare, Government, Healthcare Consultancy Service, Healthcare Investor, Healthcare IT ASH: Patients store their medical files  seamlessly shared with doctors pre-appointment  while practitioners manage consultations efficiently in ASH.",5
AFRICA TO SILICON VALLEY (A2SV),"Stand No- 21A-9, Hall 21",United States of America,A2SV (Africa to Silicon Valley) is a non-profit tech academy and incubator that provides exceptional tech education and support to top university students across Africa. Founded with the vision of transforming Africa into a global ...,"Incubator/Accelerator/Investment, HealthTech, Education Tech, Coding and Development, Artificial Intelligence, Chatbots / Virtual Assistant, Content Creation, Machine Learning, Neural Networks, Artificial Intelligence","AFRICA TO SILICON VALLEY (A2SV) Incubator/Accelerator/Investment, HealthTech, Education Tech, Coding and Development, Artificial Intelligence, Chatbots / Virtual Assistant, Content Creation, Machine Learning, Neural Networks, Artificial Intelligence A2SV (Africa to Silicon Valley) is a non-profit tech academy and incubator that provides exceptional tech education and support to top university students across Africa. Founded with the vision of transforming Africa into a global ...",6
AFRICA VISION,"Stand No- 8C-01, Hall 8",Egypt,Africa vision primary focus is to increase the volume of the trade within the African content capitalizing on the potential of (AFCFTA) agreement. our vision can make the difference between generating A few international sales and ...,,AFRICA VISION  Africa vision primary focus is to increase the volume of the trade within the African content capitalizing on the potential of (AFCFTA) agreement. our vision can make the difference between generating A few international sales and ...,1
AFRICALINK,"Stand No- 21B-17, 21B-18, Hall 21",France,"Africalink is a community of entrepreneurs, businesses and economic players acting together for their businesses expansion and towards supporting an « Africa-Europe » economic co-development strategy. Over 220 members, ambassad ...",,AFRICALINK  Africalink is a community of entrepreneurs  businesses and economic players acting together for their businesses expansion and towards supporting an « Africa-Europe » economic co-development strategy. Over 220 members  ambassad ...,1
AFRICAN MARKET ENTRY CONSULTING LIMITED,"Stand No- 8D-02, Hall 8",Nigeria,"African Market Entry Consulting Ltd (Company Formation NG) is one of the most trusted comprehensive company formation agencies out of Nigeria. With more than 10,000 clients engagements from local and foreign clients, the firm won ...","Incubator/Accelerator/Investment, HealthTech, Gaming, Ecommerce, 5G & Telecommunications, Broadband Services, Service Providers, Telecoms & Mobility, Mobile Gaming, Healthcare IT","AFRICAN MARKET ENTRY CONSULTING LIMITED Incubator/Accelerator/Investment, HealthTech, Gaming, Ecommerce, 5G & Telecommunications, Broadband Services, Service Providers, Telecoms & Mobility, Mobile Gaming, Healthcare IT African Market Entry Consulting Ltd (Company Formation NG) is one of the most trusted comprehensive company formation agencies out of Nigeria. With more than 10 000 clients engagements from local and foreign clients  the firm won ...",1
AFRICAN POPULATION AND HEALTH RESEARCH CENTER,"Stand No- 17A-12, Hall 17",Kenya,"APHRC: Africa-based, research-to-policy organization in Nairobi & Dakar, driving change through evidence-informed decisions.","Big Data & Analytics, Artificial Intelligence, Data Extraction, Data Analytics, Data Science","AFRICAN POPULATION AND HEALTH RESEARCH CENTER Big Data & Analytics, Artificial Intelligence, Data Extraction, Data Analytics, Data Science APHRC: Africa-based  research-to-policy organization in Nairobi & Dakar  driving change through evidence-informed decisions.",6
AFRIKAN CODERS,"Stand No- 9K-14, Hall 9",Cape Verde,"Afrikan Coders is a Cape Verdean company that training, recruits and provides qualified African human capital in the areas of Information and Communication Technologies (ICT) for remote work in global marketing. #AI #Inovation #De ...","Software Services, Cyber security, Blockchain, Big Data & Analytics, Artificial Intelligence, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Predictive APIs, Artificial Intelligence","AFRIKAN CODERS Software Services, Cyber security, Blockchain, Big Data & Analytics, Artificial Intelligence, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Predictive APIs, Artificial Intelligence Afrikan Coders is a Cape Verdean company that training  recruits and provides qualified African human capital in the areas of Information and Communication Technologies (ICT) for remote work in global marketing. #AI #Inovation #De ...",8
AFRIMOBILITY,"Stand No- 8P-20 to 8P-33, Hall 8",Morocco,"Afrimobility is Akwa Group's Venture Capital fund and is specialized in financing and scaling-up innovative startups, operating in the following verticals: • Mobility and Smart Cities • HealthTech • FinTech • GreenTech � ...","Digital Finance, HealthTech, Future Mobility & Transportation, Artificial Intelligence, AgriTech & FoodTech, Biotechnology, Predictive APIs, Artificial Intelligence, Chargers - EV Quick Chargers, Healthcare IT","AFRIMOBILITY Digital Finance, HealthTech, Future Mobility & Transportation, Artificial Intelligence, AgriTech & FoodTech, Biotechnology, Predictive APIs, Artificial Intelligence, Chargers - EV Quick Chargers, Healthcare IT Afrimobility is Akwa Group's Venture Capital fund and is specialized in financing and scaling-up innovative startups  operating in the following verticals: • Mobility and Smart Cities • HealthTech • FinTech • GreenTech � ...",4
AFROCHAT,"Stand No- 21B-23, Hall 21",Ethiopia,AfroChat is a platform designed to address individual and organizational challenges in AI adoption. AfroChat improves AI knowledge and accessibility across Africa by using state-of-the-art Generative AI models in a simple user-fri ...,"Coding and Development, Big Data & Analytics, Artificial Intelligence, Artificial Intelligence, Speech Recognition, Real time translation, Optical character recognition (OCR), Natural Language Processing (NLP), Natural Language Generation (NLG), Machine Learning","AFROCHAT Coding and Development, Big Data & Analytics, Artificial Intelligence, Artificial Intelligence, Speech Recognition, Real time translation, Optical character recognition (OCR), Natural Language Processing (NLP), Natural Language Generation (NLG), Machine Learning AfroChat is a platform designed to address individual and organizational challenges in AI adoption. AfroChat improves AI knowledge and accessibility across Africa by using state-of-the-art Generative AI models in a simple user-fri ...",8
AFTERMARKET,"Stand No- 8D-13, Hall 8",Cote d'Ivoire (Ivory Coast),"Aftermarket aims to transform the agricultural landscape of Côte d'Ivoire. By bridging the gap between producers and buyers, Aftermarket addresses the inefficiencies and challenges prevalent in the traditional supply chain, strea ...","AgriTech & FoodTech, Agricultural Marketplaces, Agriculture 4.0 (Crop Production and Livestock), Climate-Smart Agriculture, Controlled environment systems, New Food Systems","AFTERMARKET AgriTech & FoodTech, Agricultural Marketplaces, Agriculture 4.0 (Crop Production and Livestock), Climate-Smart Agriculture, Controlled environment systems, New Food Systems Aftermarket aims to transform the agricultural landscape of Côte d'Ivoire. By bridging the gap between producers and buyers  Aftermarket addresses the inefficiencies and challenges prevalent in the traditional supply chain  strea ...",2
AGENCE MAGHREB ARABE PRESSE,"Stand No- 17D-20, Hall 17",Morocco,"Established in 1959, Maghreb Arabe Presse (MAP) is the official news agency of the Kingdom of Morocco. As a governmental institution, MAP's primary objective is to disseminate news domestically and internationally, covering a dive ...","Digital Finance, Media, Marketing & Advertising Tech, Internet of Things (IOT), Cyber security, Cloud Services, Cloud Management Platform, Cybersecurity, Desktop as a Service - DaaS, Migration, Networks","AGENCE MAGHREB ARABE PRESSE Digital Finance, Media, Marketing & Advertising Tech, Internet of Things (IOT), Cyber security, Cloud Services, Cloud Management Platform, Cybersecurity, Desktop as a Service - DaaS, Migration, Networks Established in 1959  Maghreb Arabe Presse (MAP) is the official news agency of the Kingdom of  . As a governmental institution  MAP's primary objective is to disseminate news domestically and internationally  covering a dive ...",1
AGENCE NATIONALE DES PORTS,"Stand No- 15B-85, Hall 15",Morocco,"Dans un contexte de globalisation croissante, marqué par l’intensification des échanges dans un environnement de plus en plus concurrentiel, le secteur des ports, au Maroc et dans le monde, est devenu un levier important du d� ...",,AGENCE NATIONALE DES PORTS  Dans un contexte de globalisation croissante  marqué par l’intensification des échanges dans un environnement de plus en plus concurrentiel  le secteur des ports  au   et dans le monde  est devenu un levier important du d� ...,1
AGENZ,"Stand No- 21G-21, Hall 21",Morocco,"Real estate in Morocco is inefficient, at Agenz (a prop-tech scaleup) we’ve built an integrated real estate service stack, to bring transparency and performance all along the value chain and help real estate stakeholders save ti ...","PropTech, CRM, Data & Analytics, Listings & Brokerage Tech, Marketplaces","AGENZ PropTech, CRM, Data & Analytics, Listings & Brokerage Tech, Marketplaces Real estate in   is inefficient  at Agenz (a prop-tech scaleup) we’ve built an integrated real estate service stack  to bring transparency and performance all along the value chain and help real estate stakeholders save ti ...",7
AGIRH,"Stand No- 5E-07, Hall 5",Morocco,"AGIRH is a comprehensive HR solutions provider offering a complete suite of integrated software and services to streamline HR operations for businesses across Africa. With a focus on innovation and customer satisfaction, AGIRH pro ...","Education Tech, Software Services, HR systems and services, ERP (Enterprise Resource Planning) Software, HR Tech","AGIRH Education Tech, Software Services, HR systems and services, ERP (Enterprise Resource Planning) Software, HR Tech AGIRH is a comprehensive HR solutions provider offering a complete suite of integrated software and services to streamline HR operations for businesses across Africa. With a focus on innovation and customer satisfaction  AGIRH pro ...",4
AGRISCAN,"Stand No- 9D-25, Hall 9",Morocco,"AGRISCAN provides technological solutions in the agricultural field, develops and produces new portable sensors to carry out real-time analyzes and tests. systems are based on disruptive technology with embedded artificial intelli ...",,AGRISCAN  AGRISCAN provides technological solutions in the agricultural field  develops and produces new portable sensors to carry out real-time analyzes and tests. systems are based on disruptive technology with embedded artificial intelli ...,2
AGROCONFORM,"Stand No- 21G-12, Hall 21",Morocco,"Holistic technology platform that enables farmers to enhance agriculture efficiency, sustainability and ensure transparency. From seed to sale. with our Platform farmers can : 1- Anticipate challenges and define ideal crop cycle ...","Digital Finance, Regulatory Technology, Blockchain, Artificial Intelligence, AgriTech & FoodTech, Agri-Data and Analytics, Agriculture 4.0 (Crop Production and Livestock), AI & Nutrition, Clean label management, Climate-Smart Agriculture","AGROCONFORM Digital Finance, Regulatory Technology, Blockchain, Artificial Intelligence, AgriTech & FoodTech, Agri-Data and Analytics, Agriculture 4.0 (Crop Production and Livestock), AI & Nutrition, Clean label management, Climate-Smart Agriculture Holistic technology platform that enables farmers to enhance agriculture efficiency  sustainability and ensure transparency. From seed to sale. with our Platform farmers can : 1- Anticipate challenges and define ideal crop cycle ...",3
AI ROBOTICS,"Stand No- 21C-31, 21C-32, Hall 21",France,"AI Robotics is a company specializing in the development of cutting-edge robotic solutions, focused on service robotics. We design, develop and market intelligent robots capable of automating a wide range of tasks across diverse i ...",,AI ROBOTICS  AI Robotics is a company specializing in the development of cutting-edge robotic solutions  focused on service robotics. We design  develop and market intelligent robots capable of automating a wide range of tasks across diverse i ...,8
AIRLINK COMMUNICATION LIMITED,"Stand No- 3D-60, Hall 3",Pakistan,"Airlink stands as a titan in Pakistan's telecommunications industry, renowned as one of the largest manufacturers, distributors, and retailers in the sector. Our strategic partnerships with global titans like Xiaomi and Tecno unde ...","Smart Manufacturing, Internet of Things (IOT), 5G & Telecommunications, Mobile Telecommunications & 5G, Telecommunication Integration & Equipment Services, Artificial Intelligence, IoT Solutions, Telecommunications, Wearables, Additive Manufacturing","AIRLINK COMMUNICATION LIMITED Smart Manufacturing, Internet of Things (IOT), 5G & Telecommunications, Mobile Telecommunications & 5G, Telecommunication Integration & Equipment Services, Artificial Intelligence, IoT Solutions, Telecommunications, Wearables, Additive Manufacturing Airlink stands as a titan in Pakistan's telecommunications industry  renowned as one of the largest manufacturers  distributors  and retailers in the sector. Our strategic partnerships with global titans like Xiaomi and Tecno unde ...",7
AITEK,"Stand No- 11C-40, Hall 11",Cote d'Ivoire (Ivory Coast),"Fondée en 2004 en Côte d'Ivoire, Aitek est le principal distributeur informatique à valeur ajoutée en Afrique. Il y a près de deux décennies, l'entreprise a commencé avec quatre personnes, et maintenant, elle compte enviro ...","Cyber security, Consumer Tech, Smart Home & Smart Workplace, Cloud Services, Business Continuity, Back-up & Disaster Recovery, Cloud Management & Optimisation, Cloud Management Platform, Cloud Service Provider - CSP, Computer and Mobile Hardware, Storage & Peripherals, Printing Solutions, Tablets / Laptops","AITEK Cyber security, Consumer Tech, Smart Home & Smart Workplace, Cloud Services, Business Continuity, Back-up & Disaster Recovery, Cloud Management & Optimisation, Cloud Management Platform, Cloud Service Provider - CSP, Computer and Mobile Hardware, Storage & Peripherals, Printing Solutions, Tablets / Laptops Fondée en 2004 en Côte d'Ivoire  Aitek est le principal distributeur informatique à valeur ajoutée en Afrique. Il y a près de deux décennies  l'entreprise a commencé avec quatre personnes  et maintenant  elle compte enviro ...",4
AKIL,"Stand No- 8G-10, Hall 8",Ethiopia,"At Akil, we simplify the way NGOs find volunteers. We tackle the challenge of scattered and unorganized volunteer recruitment by providing a central platform where NGOs can easily share opportunities, and volunteers find roles tha ...","Creative Economy, Retail Tech, HealthTech, Cloud Services, Artificial Intelligence, Chatbots / Virtual Assistant, Content Creation, Recruitment, Advertising, Training or Recruitement","AKIL Creative Economy, Retail Tech, HealthTech, Cloud Services, Artificial Intelligence, Chatbots / Virtual Assistant, Content Creation, Recruitment, Advertising, Training or Recruitement At Akil  we simplify the way NGOs find volunteers. We tackle the challenge of scattered and unorganized volunteer recruitment by providing a central platform where NGOs can easily share opportunities  and volunteers find roles tha ...",4
AKU,"Stand No- 18C-30, Hall 18",Nigeria,"Aku is a fully licensed payment lead digital bank. Our Mission is building wealth at the base of the pyramid, to accelerate financial inclusion and economic development in Africa one mobile device at a time. We believe that acce ...","Blockchain, Digital Finance, Payments / Wallets / Exchange Gateways, Banking Solutions, Card Issuance and Management, Core Banking Solutions, Digital Lending, Digital Payment, E-KYC, E-Payment Solutions","AKU Blockchain, Digital Finance, Payments / Wallets / Exchange Gateways, Banking Solutions, Card Issuance and Management, Core Banking Solutions, Digital Lending, Digital Payment, E-KYC, E-Payment Solutions Aku is a fully licensed payment lead digital bank. Our Mission is building wealth at the base of the pyramid  to accelerate financial inclusion and economic development in Africa one mobile device at a time. We believe that acce ...",2
